time;Job;Res;C;solution
0;Приём (1)(ef009541-750a-11ef-b087-30f6ef8c05a5);КА(RS_1);0;1
1;Приём (1)(ef009541-750a-11ef-b087-30f6ef8c05a5);КА(RS_1);0;1
2;Приём (1)(ef009541-750a-11ef-b087-30f6ef8c05a5);КА(RS_1);0;1
3;Приём (1)(ef009541-750a-11ef-b087-30f6ef8c05a5);КА(RS_1);0;1
4;Приём (1)(ef009541-750a-11ef-b087-30f6ef8c05a5);КА(RS_1);0;1
5;Приём (1)(ef009541-750a-11ef-b087-30f6ef8c05a5);КА(RS_1);0;1
6;Передача КА-ЦУП (20)(ef009544-750a-11ef-bff8-30f6ef8c05a5);ЦУП(RS_3);0;1
7;Передача КА-ЦУП (20)(ef009544-750a-11ef-bff8-30f6ef8c05a5);ЦУП(RS_3);0;1
8;Передача КА-ЦУП (20)(ef009544-750a-11ef-bff8-30f6ef8c05a5);ЦУП(RS_3);0;1
9;Первичная обработка (21)(ef009545-750a-11ef-b509-30f6ef8c05a5);ЦУП(RS_3);0;1
10;Первичная обработка (21)(ef009545-750a-11ef-b509-30f6ef8c05a5);ЦУП(RS_3);0;1
11;Первичная обработка (21)(ef009545-750a-11ef-b509-30f6ef8c05a5);ЦУП(RS_3);0;1
12;Первичная обработка (21)(ef009545-750a-11ef-b509-30f6ef8c05a5);ЦУП(RS_3);0;1
13;Первичная обработка (21)(ef009545-750a-11ef-b509-30f6ef8c05a5);ЦУП(RS_3);0;1
14;Первичная обработка (21)(ef009545-750a-11ef-b509-30f6ef8c05a5);ЦУП(RS_3);0;1
15;Первичная обработка (21)(ef009545-750a-11ef-b509-30f6ef8c05a5);ЦУП(RS_3);0;1
16;Первичная обработка (21)(ef009545-750a-11ef-b509-30f6ef8c05a5);ЦУП(RS_3);0;1
17;Первичная обработка (21)(ef009545-750a-11ef-b509-30f6ef8c05a5);ЦУП(RS_3);0;1
18;Первичная обработка (21)(ef009545-750a-11ef-b509-30f6ef8c05a5);ЦУП(RS_3);0;1
19;Передача ЦУП-ОКИК (24)(ef009548-750a-11ef-b8fa-30f6ef8c05a5);ЦУП(RS_3);0;1
20;Передача ЦУП-ОКИК (24)(ef009548-750a-11ef-b8fa-30f6ef8c05a5);ЦУП(RS_3);0;1
21;Передача ЦУП-ОКИК (24)(ef009548-750a-11ef-b8fa-30f6ef8c05a5);ЦУП(RS_3);0;1
22;Передача ЦУП-ОКИК (24)(ef009548-750a-11ef-b8fa-30f6ef8c05a5);ЦУП(RS_3);0;1
23;Передача ЦУП-ОКИК (24)(ef009548-750a-11ef-b8fa-30f6ef8c05a5);ЦУП(RS_3);0;1
24;Передача ЦУП-ОКИК (24)(ef009548-750a-11ef-b8fa-30f6ef8c05a5);ЦУП(RS_3);0;1
25;Передача ЦУП-ОКИК (24)(ef009548-750a-11ef-b8fa-30f6ef8c05a5);ЦУП(RS_3);0;1
26;Передача ЦУП-ОКИК (24)(ef009548-750a-11ef-b8fa-30f6ef8c05a5);ЦУП(RS_3);0;1
27;Передача ЦУП-ОКИК (24)(ef009548-750a-11ef-b8fa-30f6ef8c05a5);ЦУП(RS_3);0;1
28;Передача ЦУП-ОКИК (24)(ef009548-750a-11ef-b8fa-30f6ef8c05a5);ЦУП(RS_3);0;1
29;Передача ЦУП-ОКИК (24)(ef009548-750a-11ef-b8fa-30f6ef8c05a5);ЦУП(RS_3);0;1
30;Вторичная обработка (8)(ef009549-750a-11ef-a014-30f6ef8c05a5);ОКИК(RS_2);0;1
31;Вторичная обработка (8)(ef009549-750a-11ef-a014-30f6ef8c05a5);ОКИК(RS_2);0;1
32;Вторичная обработка (8)(ef009549-750a-11ef-a014-30f6ef8c05a5);ОКИК(RS_2);0;1
33;Вторичная обработка (8)(ef009549-750a-11ef-a014-30f6ef8c05a5);ОКИК(RS_2);0;1
34;Вторичная обработка (8)(ef009549-750a-11ef-a014-30f6ef8c05a5);ОКИК(RS_2);0;1
35;Вторичная обработка (8)(ef009549-750a-11ef-a014-30f6ef8c05a5);ОКИК(RS_2);0;1
36;Вторичная обработка (8)(ef009549-750a-11ef-a014-30f6ef8c05a5);ОКИК(RS_2);0;1
37;Передача ОКИК-ЦУП (12)(ef009555-750a-11ef-bd6a-30f6ef8c05a5);ОКИК(RS_2);0;1
38;Передача ОКИК-ЦУП (12)(ef009555-750a-11ef-bd6a-30f6ef8c05a5);ОКИК(RS_2);0;1
39;Передача ОКИК-ЦУП (12)(ef009555-750a-11ef-bd6a-30f6ef8c05a5);ОКИК(RS_2);0;1
40;Передача ОКИК-ЦУП (12)(ef009555-750a-11ef-bd6a-30f6ef8c05a5);ОКИК(RS_2);0;1
41;Формирование управления (23)(ef009556-750a-11ef-8bf0-30f6ef8c05a5);ЦУП(RS_3);0;1
42;Формирование управления (23)(ef009556-750a-11ef-8bf0-30f6ef8c05a5);ЦУП(RS_3);0;1
43;Формирование управления (23)(ef009556-750a-11ef-8bf0-30f6ef8c05a5);ЦУП(RS_3);0;1
44;Формирование управления (23)(ef009556-750a-11ef-8bf0-30f6ef8c05a5);ЦУП(RS_3);0;1
