time;Job;Res;C;solution
10;ИЗД_0_Общий входной поток(8ca942ba-3ec1-11ef-a242-30f6ef8c05a9);Основной исполитель(RS_1);1435132,0;1
11;ИЗД_0_Процесс (1)(8ca942bc-3ec1-11ef-8992-30f6ef8c05a9);Исполнитель первого интервала(RS_2);1147522,1553763621;1
12;ИЗД_0_Процесс (1)(8ca942bc-3ec1-11ef-8992-30f6ef8c05a9);Исполнитель первого интервала(RS_2);1147522,1553763621;1
13;ИЗД_0_Процесс (1)(8ca942bc-3ec1-11ef-8992-30f6ef8c05a9);Исполнитель первого интервала(RS_2);1147522,1553763621;1
14;ИЗД_0_Процесс (1)(8ca942bc-3ec1-11ef-8992-30f6ef8c05a9);Исполнитель первого интервала(RS_2);1147522,1553763621;1
15;ИЗД_0_Процесс (1)(8ca942bc-3ec1-11ef-8992-30f6ef8c05a9);Исполнитель первого интервала(RS_2);1147522,1553763621;1
16;ИЗД_0_Процесс (1)(8ca942bc-3ec1-11ef-8992-30f6ef8c05a9);Исполнитель первого интервала(RS_2);1147522,1553763621;1
17;ИЗД_0_Процесс (1)(8ca942bc-3ec1-11ef-8992-30f6ef8c05a9);Исполнитель первого интервала(RS_2);1147522,1553763621;1
18;ИЗД_0_Процесс (1)(8ca942bc-3ec1-11ef-8992-30f6ef8c05a9);Исполнитель первого интервала(RS_2);1147522,1553763621;1
19;ИЗД_0_Процесс (1)(8ca942bc-3ec1-11ef-8992-30f6ef8c05a9);Исполнитель первого интервала(RS_2);1147522,1553763621;1
