time;Job;Res;C;solution
10;Общий входной поток(b592b728-7111-11ef-8ced-30f6ef8c05a5);Основной исполитель(RS_1);78774552,0;1
11;Поток первого интервала(b592b729-7111-11ef-b7c6-30f6ef8c05a5);Основной исполитель(RS_1);64106136,0;1
11;Поток второго интервала(b592b72a-7111-11ef-bab5-30f6ef8c05a5);Исполнитель второго интервала(RS_3);0;1
12;Поток первого интервала(b592b729-7111-11ef-b7c6-30f6ef8c05a5);Основной исполитель(RS_1);64106136,0;1
12;Поток второго интервала(b592b72a-7111-11ef-bab5-30f6ef8c05a5);Исполнитель второго интервала(RS_3);0;1
13;Поток первого интервала(b592b729-7111-11ef-b7c6-30f6ef8c05a5);Основной исполитель(RS_1);64106136,0;1
13;Поток второго интервала(b592b72a-7111-11ef-bab5-30f6ef8c05a5);Исполнитель второго интервала(RS_3);0;1
14;Поток первого интервала(b592b729-7111-11ef-b7c6-30f6ef8c05a5);Основной исполитель(RS_1);64106136,0;1
14;Поток второго интервала(b592b72a-7111-11ef-bab5-30f6ef8c05a5);Исполнитель второго интервала(RS_3);0;1
15;Поток первого интервала(b592b729-7111-11ef-b7c6-30f6ef8c05a5);Основной исполитель(RS_1);64106136,0;1
15;Поток второго интервала(b592b72a-7111-11ef-bab5-30f6ef8c05a5);Исполнитель второго интервала(RS_3);0;1
16;Поток первого интервала(b592b729-7111-11ef-b7c6-30f6ef8c05a5);Основной исполитель(RS_1);64106136,0;1
16;Поток второго интервала(b592b72a-7111-11ef-bab5-30f6ef8c05a5);Исполнитель второго интервала(RS_3);0;1
17;Поток первого интервала(b592b729-7111-11ef-b7c6-30f6ef8c05a5);Основной исполитель(RS_1);64106136,0;1
17;Поток второго интервала(b592b72a-7111-11ef-bab5-30f6ef8c05a5);Исполнитель второго интервала(RS_3);0;1
18;Поток первого интервала(b592b729-7111-11ef-b7c6-30f6ef8c05a5);Основной исполитель(RS_1);64106136,0;1
18;Поток второго интервала(b592b72a-7111-11ef-bab5-30f6ef8c05a5);Исполнитель второго интервала(RS_3);0;1
19;Поток первого интервала(b592b729-7111-11ef-b7c6-30f6ef8c05a5);Основной исполитель(RS_1);64106136,0;1
19;Поток второго интервала(b592b72a-7111-11ef-bab5-30f6ef8c05a5);Исполнитель второго интервала(RS_3);0;1
20;Поток первого интервала(b592b729-7111-11ef-b7c6-30f6ef8c05a5);Основной исполитель(RS_1);64106136,0;1
20;Поток второго интервала(b592b72a-7111-11ef-bab5-30f6ef8c05a5);Исполнитель второго интервала(RS_3);0;1
21;Поток первого интервала(b592b729-7111-11ef-b7c6-30f6ef8c05a5);Основной исполитель(RS_1);64106136,0;1
21;Поток второго интервала(b592b72a-7111-11ef-bab5-30f6ef8c05a5);Исполнитель второго интервала(RS_3);0;1
22;Поток первого интервала(b592b729-7111-11ef-b7c6-30f6ef8c05a5);Основной исполитель(RS_1);64106136,0;1
22;Поток второго интервала(b592b72a-7111-11ef-bab5-30f6ef8c05a5);Исполнитель второго интервала(RS_3);0;1
23;Поток первого интервала(b592b729-7111-11ef-b7c6-30f6ef8c05a5);Основной исполитель(RS_1);64106136,0;1
23;Поток второго интервала(b592b72a-7111-11ef-bab5-30f6ef8c05a5);Исполнитель второго интервала(RS_3);0;1
24;Поток первого интервала(b592b729-7111-11ef-b7c6-30f6ef8c05a5);Основной исполитель(RS_1);64106136,0;1
24;Поток второго интервала(b592b72a-7111-11ef-bab5-30f6ef8c05a5);Исполнитель второго интервала(RS_3);0;1
25;Поток первого интервала(b592b729-7111-11ef-b7c6-30f6ef8c05a5);Основной исполитель(RS_1);64106136,0;1
25;Поток второго интервала(b592b72a-7111-11ef-bab5-30f6ef8c05a5);Исполнитель второго интервала(RS_3);0;1
26;Поток первого интервала(b592b729-7111-11ef-b7c6-30f6ef8c05a5);Основной исполитель(RS_1);64106136,0;1
26;Поток второго интервала(b592b72a-7111-11ef-bab5-30f6ef8c05a5);Исполнитель второго интервала(RS_3);0;1
27;Поток первого интервала(b592b729-7111-11ef-b7c6-30f6ef8c05a5);Основной исполитель(RS_1);64106136,0;1
27;Поток второго интервала(b592b72a-7111-11ef-bab5-30f6ef8c05a5);Исполнитель второго интервала(RS_3);0;1
28;Поток первого интервала(b592b729-7111-11ef-b7c6-30f6ef8c05a5);Основной исполитель(RS_1);64106136,0;1
28;Поток второго интервала(b592b72a-7111-11ef-bab5-30f6ef8c05a5);Исполнитель второго интервала(RS_3);0;1
29;Поток первого интервала(b592b729-7111-11ef-b7c6-30f6ef8c05a5);Основной исполитель(RS_1);64106136,0;1
29;Поток второго интервала(b592b72a-7111-11ef-bab5-30f6ef8c05a5);Исполнитель второго интервала(RS_3);0;1
30;Поток первого интервала(b592b729-7111-11ef-b7c6-30f6ef8c05a5);Основной исполитель(RS_1);64106136,0;1
30;Поток второго интервала(b592b72a-7111-11ef-bab5-30f6ef8c05a5);Исполнитель второго интервала(RS_3);0;1
31;Поток первого интервала(b592b729-7111-11ef-b7c6-30f6ef8c05a5);Основной исполитель(RS_1);64106136,0;1
31;Поток второго интервала(b592b72a-7111-11ef-bab5-30f6ef8c05a5);Исполнитель второго интервала(RS_3);0;1
32;Поток первого интервала(b592b729-7111-11ef-b7c6-30f6ef8c05a5);Основной исполитель(RS_1);64106136,0;1
